timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1468529273,0.007288,0.120200,0.090500,0.048195,54000,
1468529273,0.007288,0.109382,0.066065,0.082863,54000,
1468529273,0.893412,0.110584,0.054300,0.040623,54000,
1468529274,0.703314,0.127412,0.097740,0.017220,54000,
1468529274,0.220900,0.118998,0.085070,0.152892,55000,
1468529274,0.833742,0.099766,0.001812,0.017220,55000,
1468529275,0.501216,0.108180,0.001812,0.017220,55000,
1468529275,0.027330,0.098564,0.001812,0.035046,56000,
1468529275,0.066312,0.100968,0.001812,0.101144,56000,
1468529275,0.915365,0.158664,0.143148,0.017220,56000,
1468529276,1.051248,0.146644,0.088690,0.017220,56000,
1468529276,0.900790,0.133422,0.110410,0.017220,56000,
1468529276,0.967116,0.133422,0.105885,0.017220,56000,
1468529277,1.137182,0.139432,0.095025,0.017220,56000,
1468529277,0.913500,0.127412,0.128652,0.017220,57000,
1468529277,0.137386,0.111786,0.088690,0.060642,57000,
1468529277,0.553220,0.127412,0.049775,0.068936,57000,
1468529278,0.127820,0.092554,0.032580,0.028678,57000,
1468529278,0.073600,0.118998,0.002718,0.129987,55000,
1468529278,0.453102,0.109382,0.073305,0.017220,55000,
1468529279,0.016398,0.097362,0.005436,0.058995,55000,
1468529279,0.093730,0.094958,0.038915,0.031212,56000,
1468529279,0.106605,0.123806,0.001812,0.113322,56000,
1468529279,0.324445,0.102170,0.071495,0.017108,56000,
1468529280,0.009110,0.104574,0.004530,0.065646,56000,
1468529280,0.634810,0.115392,0.046155,0.040590,54000,
1468529280,0.121940,0.096160,0.033485,0.029666,54000,
1468529281,0.172975,0.131018,0.002718,0.122301,54000,
1468529281,0.259560,0.091352,0.076925,0.018030,55000,
1468529281,0.007288,0.110584,0.001812,0.080788,55000,
1468529281,0.635520,0.111786,0.052490,0.028290,55000,
1468529282,0.230483,0.097362,0.022625,0.039701,55000,
1468529282,0.238579,0.127412,0.017214,0.100584,54000,
1468529282,0.752074,0.123806,0.001812,0.092966,54000,
1468529283,0.057393,0.099766,0.056110,0.017220,54000,
1468529283,0.292908,0.098564,0.019026,0.039348,55000,
1468529283,0.261096,0.118998,0.012684,0.100620,55000,
1468529283,0.261800,0.115392,0.109505,0.055200,55000,
1468529284,0.060060,0.115392,0.060635,0.114492,55000,
1468529284,0.300144,0.120200,0.082355,0.051816,54000,
1468529284,0.114080,0.100968,0.026245,0.096096,54000,
1468529285,0.272272,0.092554,0.001812,0.061586,54000,
1468529285,0.018220,0.099766,0.024435,0.078848,55000,
1468529285,0.410745,0.096160,0.001812,0.066105,55000,
1468529285,0.073791,0.094958,0.019910,0.054164,55000,
1468529286,0.057330,0.090150,0.026274,0.035670,55000,
1468529286,0.262625,0.098564,0.001812,0.151625,54000,
1468529286,0.043146,0.091352,0.019932,0.017295,54000,
1468529287,0.369138,0.093756,0.001812,0.097455,54000,
1468529287,0.148960,0.094958,0.025368,0.017220,55000,
1468529287,0.328912,0.102170,0.001812,0.101250,55000,
1468529287,0.227480,0.088948,0.022625,0.021510,55000,
