,mean_difference,sample_mean,sample_std,mannwhitneyu_statistic,savings_after24h,welchsttest_statistic,n,welchsttest_p,mannwhitneyu_p,cohensd,shapiro_W,improvement,shapiro_p
blank-app,-2.16749006944,5.66449905,0.164745830617,0.0,398.517624629,33.1222568922,30,1.71815952836e-32,3.01985935916e-11,-8.55212995549,0.973941922188,0.276748350437,0.651596307755
writeily-pro,0.0,7.83198911944,0.318319042887,450.0,-0.0,0.0,30,1.0,0.994099461617,0.0,0.966022014618,-0.0,0.436791986227
writeily-pro-lint-all,0.0483079694444,7.88029708889,0.301254223219,421.0,-8.88196790612,-0.603722095118,30,0.548389562506,0.673495052802,0.155880374675,0.977151215076,-0.00616803326814,0.745820701122
writeily-pro-lint-overdraw,0.0705672277778,7.90255634722,0.390521141091,422.0,-12.9745849299,-0.767165351311,30,0.446220977892,0.684322586762,0.198081241961,0.927584409714,-0.00901012842352,0.0423751585186
writeily-pro-lint-unused-resource,0.0867008555556,7.918689975,0.375882591631,391.0,-15.9409353226,-0.964107414515,30,0.339102852431,0.387099777679,0.248931464025,0.971289873123,-0.011070093974,0.575041592121
writeily-pro-lint-useless-parent,-0.00744076388889,7.82454835556,0.362618919676,443.0,1.36806880559,0.0844633846297,30,0.932983754104,0.923442131978,-0.0218083521357,0.942386865616,0.000950047781657,0.105478644371
writeily-pro-lint-viewholder,0.0010572,7.83304631944,0.321053692609,446.0,-0.194378206709,-0.0128078046354,30,0.989825087703,0.958731490813,0.00330696093697,0.964129149914,-0.00013498486577,0.393117696047
