,duration,energy_arm,energy_g3d,energy_kfc,energy_mem,experiment,temperature,timestamp
0,315,71.64724325,0.7025065,20.3284746667,30.6710595833,blank-app,0.0,2016_07_25-19_27
1,316,70.6910568333,0.665208166667,20.39981075,30.6587128333,blank-app,0.0,2016_07_25-19_54
2,315,71.71608925,0.686029916667,20.03981925,30.543421,blank-app,0.0,2016_07_25-20_20
3,315,71.5744965,0.660099,20.1929890833,30.655207,blank-app,0.0,2016_07_25-20_46
4,316,71.6682031667,0.7687955,20.2952635833,30.6850566667,blank-app,0.0,2016_07_25-21_12
5,315,70.9742860833,0.84858475,20.2517634167,30.6983788333,blank-app,0.0,2016_07_25-21_38
6,315,72.3133001667,0.736184,19.88170575,30.667828,blank-app,0.0,2016_07_25-22_04
7,315,71.7857821667,0.75188075,20.5144883333,30.6722353333,blank-app,0.0,2016_07_25-22_30
8,316,71.0357321667,0.782205166667,20.41165925,30.8169761667,blank-app,0.0,2016_07_25-22_56
9,316,70.4476456667,0.670715166667,20.1544,30.7719271667,blank-app,0.0,2016_07_25-23_22
10,316,69.8395865,0.747514166667,20.4893875,30.7849228333,blank-app,0.0,2016_07_25-23_48
11,316,72.8497344167,0.731418666667,19.9712695,30.7770096667,blank-app,0.0,2016_07_26-00_14
12,315,71.6609741667,0.76314,20.3016745,30.706292,blank-app,0.0,2016_07_26-00_40
13,316,70.9679919167,0.721381833333,20.4211508333,30.7598811667,blank-app,0.0,2016_07_26-01_06
14,315,71.6545773333,0.70474825,20.2766568333,30.68105,blank-app,0.0,2016_07_26-01_33
15,316,71.2432674167,0.683174666667,20.1455825,30.6661251667,blank-app,0.0,2016_07_26-01_59
16,315,72.95124475,0.810381083333,20.0370205833,30.7016843333,blank-app,0.0,2016_07_26-02_25
17,316,70.5619854167,0.781829166667,20.2279685,30.7857241667,blank-app,0.0,2016_07_26-02_51
18,316,72.4514968333,0.727653833333,20.2060223333,30.7753068333,blank-app,0.0,2016_07_26-03_17
19,315,70.43155175,0.80088075,20.4825213333,30.7390465,blank-app,0.0,2016_07_26-03_43
20,316,71.7885963333,0.755876333333,20.1407283333,30.6904656667,blank-app,0.0,2016_07_26-04_10
21,316,71.2798439167,0.716700833333,20.261718,30.8159745,blank-app,0.0,2016_07_26-04_36
22,316,70.66544425,0.680666916667,20.3448789167,30.7626858333,blank-app,0.0,2016_07_26-05_02
23,316,71.6465903333,0.715775833333,20.2762035833,30.7700981667,blank-app,0.0,2016_07_26-05_28
24,316,71.4344395,0.68650775,20.342794,30.7717008333,blank-app,0.0,2016_07_26-05_54
25,316,73.2817721667,0.789843666667,20.15594675,30.8283951667,blank-app,0.0,2016_07_26-06_20
26,316,70.9069955,0.677144916667,20.15014675,30.795841,blank-app,0.0,2016_07_26-06_47
