,duration,energy_arm,energy_g3d,energy_kfc,energy_mem,experiment,temperature,timestamp
0,474,41.4153565833,1.25958741667,15.18037425,44.0236506667,blank-app,0.0,2016_06_22-12_15
1,474,41.6850023333,2.61256741667,15.17542825,44.0577073333,blank-app,0.0,2016_06_22-12_55
2,474,40.3505634167,1.24909466667,15.4352940833,44.0449861667,blank-app,0.0,2016_06_22-13_35
3,474,42.4019675833,1.27678141667,15.061343,43.9558378333,blank-app,0.0,2016_06_22-14_15
4,474,42.02911325,1.26788933333,15.154611,44.0359711667,blank-app,0.0,2016_06_22-14_55
5,474,41.523075,1.27610166667,15.2770299167,44.0624151667,blank-app,0.0,2016_06_22-15_35
6,473,42.30407875,1.279321,15.0079695833,44.0020146667,blank-app,0.0,2016_06_22-16_15
7,474,41.0213471667,1.27940875,15.3497823333,44.0679243333,blank-app,0.0,2016_06_22-16_55
8,474,41.511553,1.27753933333,15.305079,44.0975736667,blank-app,0.0,2016_06_22-17_35
9,473,41.84420175,1.26119458333,15.2122476667,43.9520315,blank-app,0.0,2016_06_22-18_15
10,474,41.1816761667,1.27610316667,15.5467650833,44.0970728333,blank-app,0.0,2016_06_22-18_55
11,474,42.71990375,1.27345483333,15.2403348333,44.0823483333,blank-app,0.0,2016_06_22-19_35
12,473,42.5383675,1.26247291667,15.1136799167,43.9578411667,blank-app,0.0,2016_06_22-20_15
13,473,41.3752976667,1.2586105,15.19997575,43.9390098333,blank-app,0.0,2016_06_22-20_55
14,474,41.6111595,1.27468183333,15.1832165,44.0631163333,blank-app,0.0,2016_06_22-21_35
15,474,41.7180480833,1.26278666667,15.4212706667,44.0798441667,blank-app,0.0,2016_06_22-22_15
16,473,41.82817725,1.25080041667,15.21103225,43.9414138333,blank-app,0.0,2016_06_22-22_55
17,473,42.2071809167,1.24513216667,14.94631925,43.9303955,blank-app,0.0,2016_06_22-23_35
18,474,42.0310605833,1.26312641667,15.1412868333,43.9527326667,blank-app,0.0,2016_06_23-00_15
19,474,41.8096281667,1.2636715,15.1209878333,44.0329661667,blank-app,0.0,2016_06_23-00_55
20,474,41.7658255,1.2774905,15.1013968333,44.0705286667,blank-app,0.0,2016_06_23-01_35
21,473,41.624143,1.26271683333,15.1520648333,43.9256876667,blank-app,0.0,2016_06_23-02_15
22,474,41.13116025,1.27289708333,15.4919744167,44.0825486667,blank-app,0.0,2016_06_23-02_55
23,474,42.6451319167,1.26333025,15.0907016667,44.0570061667,blank-app,0.0,2016_06_23-03_35
24,474,41.96652725,1.26736033333,15.1786611667,44.0488926667,blank-app,0.0,2016_06_23-04_15
25,474,42.2179836667,1.26024783333,15.2039969167,44.0542015,blank-app,0.0,2016_06_23-04_55
26,474,41.0697315833,1.26036008333,15.0965364167,43.9507293333,blank-app,0.0,2016_06_23-05_35
27,474,41.80154975,1.27369575,15.3776808333,44.0494936667,blank-app,0.0,2016_06_23-06_15
28,474,41.4735143333,1.26700783333,15.1463415,44.0812465,blank-app,0.0,2016_06_23-06_55
29,474,42.0998758333,1.26116091667,15.2555435,44.0306623333,blank-app,0.0,2016_06_23-07_35
30,470,59.2077943333,3.22329875,15.30781725,43.3057561667,talalarmo-lint-all,0.0,2016_06_22-11_51
31,471,56.7088074167,3.29119141667,15.8196720833,43.4782684167,talalarmo-lint-all,0.0,2016_06_22-12_31
32,471,57.4882308333,3.2184295,15.3675603333,43.3534355,talalarmo-lint-all,0.0,2016_06_22-13_11
33,471,57.2875311667,3.24097858333,15.7633138333,43.5049876667,talalarmo-lint-all,0.0,2016_06_22-13_51
34,471,56.65945575,3.22422058333,15.7250383333,43.4568075,talalarmo-lint-all,0.0,2016_06_22-14_31
35,470,57.2656749167,3.29795883333,15.7754050833,43.4269578333,talalarmo-lint-all,0.0,2016_06_22-15_11
36,471,59.3797378333,3.36299475,15.4132676667,43.5278256667,talalarmo-lint-all,0.0,2016_06_22-15_51
37,470,57.6906075833,3.32458966667,15.5368636667,43.3991115,talalarmo-lint-all,0.0,2016_06_22-16_31
38,470,57.91325125,3.18835333333,15.6046523333,43.3961065,talalarmo-lint-all,0.0,2016_06_22-17_11
39,471,55.4480770833,3.23123141667,16.06460675,43.5258223333,talalarmo-lint-all,0.0,2016_06_22-17_51
40,471,56.9525375,3.25658975,15.704633,43.4924668333,talalarmo-lint-all,0.0,2016_06_22-18_31
41,471,58.43908625,3.20349908333,15.2496356667,43.499779,talalarmo-lint-all,0.0,2016_06_22-19_11
42,470,57.7122341667,3.294636,15.69056075,43.4236523333,talalarmo-lint-all,0.0,2016_06_22-19_51
43,470,59.0818774167,3.29142758333,15.3376519167,43.3821833333,talalarmo-lint-all,0.0,2016_06_22-20_31
44,470,58.0099735833,3.22868775,15.55487725,43.42225,talalarmo-lint-all,0.0,2016_06_22-21_11
45,471,58.8130464167,3.27050175,15.3575955,43.499178,talalarmo-lint-all,0.0,2016_06_22-21_51
46,471,57.8255535,3.17773016667,15.4517603333,43.5017823333,talalarmo-lint-all,0.0,2016_06_22-22_31
47,471,56.066664,3.25479741667,15.6807455,43.3797059167,talalarmo-lint-all,0.0,2016_06_22-23_11
48,471,58.5591826667,3.35971241667,15.69759775,43.528627,talalarmo-lint-all,0.0,2016_06_22-23_51
