timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1469652183,0.144690,0.106978,0.026245,0.074316,53000,
1469652184,0.175216,0.096160,0.009060,0.091280,55000,
1469652184,1.649160,0.118998,0.057015,0.015964,55000,
1469652184,0.294840,0.116594,0.077830,0.037653,55000,
1469652184,0.007288,0.092554,0.001812,0.056601,57000,
1469652185,0.007304,0.099766,0.001812,0.125995,57000,
1469652185,0.521664,0.103372,0.001812,0.015990,57000,
1469652185,0.548892,0.096160,0.001812,0.017220,57000,
1469652186,1.017684,0.097362,0.001812,0.017192,59000,
1469652186,1.617733,0.094958,0.001812,0.017192,59000,
1469652186,0.389075,0.100968,0.001812,0.015990,59000,
1469652186,0.527548,0.099766,0.001812,0.017192,54000,
1469652187,0.027330,0.099766,0.001812,0.038480,54000,
1469652187,0.230824,0.115392,0.015385,0.088125,54000,
1469652187,1.804000,0.152654,0.095025,0.017192,54000,
1469652188,0.745430,0.152654,0.077830,0.017192,56000,
1469652188,0.605787,0.104574,0.107695,0.017192,56000,
1469652188,0.046461,0.121402,0.073305,0.088479,56000,
1469652188,0.488832,0.104574,0.038915,0.017192,59000,
1469652189,0.684284,0.100968,0.043440,0.017192,59000,
1469652189,0.890190,0.117796,0.095930,0.017192,59000,
1469652189,0.840042,0.134624,0.089595,0.015964,59000,
1469652190,0.770868,0.126210,0.026245,0.017192,57000,
1469652190,0.610953,0.106978,0.001812,0.017192,57000,
1469652190,0.806344,0.110584,0.001812,0.017192,57000,
1469652190,0.906950,0.133422,0.086880,0.017192,60000,
1469652191,1.212088,0.141836,0.057920,0.017192,60000,
1469652191,1.512480,0.137028,0.099550,0.017192,60000,
1469652191,0.566642,0.134624,0.060635,0.017220,60000,
1469652192,0.080990,0.109382,0.030770,0.093375,58000,
1469652192,0.074620,0.132220,0.041630,0.120416,58000,
1469652192,0.514374,0.099766,0.001812,0.017192,58000,
1469652192,0.043052,0.097362,0.001812,0.102557,56000,
1469652193,0.558438,0.109382,0.001812,0.017220,56000,
1469652193,0.879512,0.108180,0.001812,0.017192,56000,
1469652193,1.104564,0.147846,0.101360,0.017192,56000,
1469652194,1.023112,0.146644,0.096835,0.017192,58000,
1469652194,0.665980,0.123806,0.057920,0.017192,58000,
1469652194,0.043728,0.104574,0.020815,0.054864,58000,
1469652194,0.508496,0.114190,0.084165,0.062781,55000,
1469652195,0.266266,0.137028,0.072400,0.101094,55000,
1469652195,0.450622,0.103372,0.001812,0.059040,55000,
1469652195,0.508326,0.114190,0.001812,0.017192,55000,
1469652196,0.771740,0.147846,0.087785,0.017192,61000,
1469652196,1.078945,0.129816,0.085975,0.017192,61000,
1469652196,0.366832,0.112988,0.054300,0.021168,61000,
1469652196,0.016398,0.099766,0.025340,0.106029,57000,
1469652197,0.696960,0.132220,0.101360,0.017192,57000,
1469652197,0.620285,0.116594,0.043440,0.017192,57000,
1469652197,0.555500,0.114190,0.001812,0.017220,57000,
1469652198,0.759276,0.117796,0.006342,0.017192,60000,
1469652198,1.306492,0.161068,0.114030,0.017192,60000,
1469652198,0.888093,0.131018,0.076020,0.017192,60000,
1469652198,0.656580,0.121402,0.068780,0.017192,55000,
1469652199,0.094640,0.103372,0.021744,0.038160,55000,
1469652199,0.794970,0.118998,0.084165,0.017192,55000,
1469652199,0.685578,0.108180,0.001812,0.017192,55000,
1469652200,0.515185,0.108180,0.001812,0.017192,56000,
1469652200,1.316832,0.116594,0.060635,0.017192,56000,
1469652200,0.856851,0.143038,0.088690,0.017192,56000,
1469652200,1.276857,0.141836,0.080545,0.017192,56000,
1469652201,0.296725,0.126210,0.040725,0.032550,56000,
1469652201,0.115320,0.106978,0.039864,0.090558,56000,
1469652201,0.840141,0.123806,0.101360,0.017192,56000,
1469652202,0.934815,0.122604,0.012684,0.017192,57000,
1469652202,0.485980,0.114190,0.001812,0.017192,57000,
1469652202,1.107000,0.150250,0.096835,0.017192,57000,
1469652202,1.397034,0.144240,0.085070,0.017192,57000,
1469652203,0.472384,0.121402,0.042535,0.030810,57000,
1469652203,0.041906,0.106978,0.037146,0.190560,57000,
1469652203,0.008199,0.137028,0.100455,0.210290,57000,
1469652204,0.583080,0.122604,0.009060,0.039360,56000,
1469652204,0.517634,0.115392,0.001812,0.017192,56000,
1469652204,0.896400,0.110584,0.048870,0.017192,56000,
1469652204,0.831168,0.156260,0.104980,0.017192,58000,
1469652205,1.112736,0.137028,0.080545,0.017192,58000,
1469652205,0.482524,0.122604,0.047060,0.017192,58000,
1469652205,0.084630,0.110584,0.021744,0.093234,58000,
1469652206,0.787836,0.118998,0.108600,0.017192,57000,
1469652206,0.637734,0.121402,0.035295,0.017192,57000,
1469652206,0.728028,0.114190,0.012684,0.017192,57000,
1469652206,1.071696,0.146766,0.117650,0.017192,57000,
1469652207,0.913770,0.138230,0.078735,0.017192,58000,
1469652207,0.895620,0.120200,0.043440,0.017220,58000,
1469652207,0.070980,0.109382,0.021720,0.100748,58000,
1469652208,0.850584,0.134624,0.109505,0.017192,57000,
1469652208,0.576912,0.112988,0.028055,0.017192,57000,
1469652208,0.579025,0.116594,0.001812,0.017220,57000,
1469652208,0.819049,0.117796,0.019910,0.017192,57000,
1469652209,1.660502,0.165876,0.116745,0.017192,59000,
1469652209,0.973808,0.126210,0.073305,0.017192,59000,
1469652209,0.636870,0.121402,0.057015,0.017220,59000,
1469652210,0.459942,0.121402,0.078735,0.054120,58000,
1469652210,0.826321,0.118998,0.070590,0.017192,58000,
1469652210,0.694980,0.106978,0.001812,0.017192,58000,
1469652210,0.509804,0.117796,0.001812,0.017192,58000,
1469652211,1.147182,0.141836,0.068780,0.017192,58000,
1469652211,1.187080,0.143038,0.092310,0.017192,58000,
1469652211,1.117213,0.126210,0.092310,0.017192,58000,
1469652212,0.349680,0.126210,0.077830,0.027792,56000,
1469652212,0.141512,0.104574,0.039820,0.090896,56000,
1469652212,1.013416,0.116594,0.045250,0.017192,56000,
1469652212,0.623105,0.123806,0.107695,0.017192,56000,
1469652213,0.459355,0.105776,0.005436,0.017192,57000,
1469652213,0.794500,0.138230,0.046155,0.017192,57000,
1469652213,1.227072,0.150250,0.114030,0.017192,57000,
1469652214,0.617520,0.128614,0.085070,0.017220,57000,
1469652214,0.037351,0.117796,0.055205,0.052832,57000,
1469652214,0.417600,0.103372,0.022625,0.061550,57000,
1469652214,0.658214,0.134624,0.084165,0.017192,58000,
1469652215,0.894138,0.106978,0.066970,0.017192,58000,
1469652215,0.533846,0.121402,0.001812,0.017192,58000,
1469652215,1.332324,0.116594,0.001812,0.017192,58000,
1469652216,0.860343,0.161068,0.086880,0.017192,59000,
1469652216,0.797720,0.123806,0.085975,0.017192,59000,
1469652216,0.069160,0.108180,0.058825,0.099000,59000,
1469652216,0.927078,0.115392,0.011778,0.017192,58000,
1469652217,0.648695,0.128614,0.106790,0.017192,58000,
1469652217,0.784125,0.109382,0.032580,0.017220,58000,
1469652217,0.672588,0.111786,0.001812,0.017192,58000,
1469652218,1.434555,0.137028,0.001812,0.017192,61000,
1469652218,1.051380,0.143038,0.109505,0.017192,61000,
1469652218,0.734700,0.132220,0.086880,0.017192,61000,
1469652218,0.141205,0.102170,0.057015,0.045270,57000,
1469652219,0.315112,0.108180,0.024435,0.072629,57000,
1469652219,0.687468,0.137028,0.086880,0.017220,57000,
1469652219,0.647212,0.103372,0.074210,0.015990,57000,
1469652220,1.236900,0.125008,0.001812,0.017192,59000,
1469652220,0.734745,0.155058,0.071495,0.017192,59000,
1469652220,1.114911,0.127412,0.103170,0.017192,59000,
1469652220,0.305996,0.112988,0.071495,0.033666,55000,
1469652221,0.008199,0.105776,0.038915,0.098028,55000,
1469652221,0.816042,0.139432,0.047060,0.017192,55000,
1469652221,0.813124,0.110584,0.110410,0.017192,55000,
1469652222,0.533010,0.112988,0.009060,0.017220,59000,
1469652222,0.869904,0.122604,0.001812,0.017192,59000,
1469652222,1.149044,0.155058,0.041630,0.017192,59000,
1469652222,1.093891,0.128614,0.090500,0.017192,56000,
1469652223,0.584548,0.115392,0.079640,0.017192,56000,
1469652223,0.150150,0.105776,0.062445,0.043645,56000,
1469652223,0.708920,0.127412,0.088690,0.017192,56000,
1469652224,0.858540,0.127412,0.075115,0.017192,57000,
1469652224,0.478896,0.116594,0.001812,0.017192,57000,
1469652224,1.374820,0.109382,0.001812,0.017192,57000,
1469652224,0.951544,0.156260,0.081450,0.017192,57000,
1469652225,0.586602,0.133422,0.086880,0.017220,57000,
1469652225,0.550848,0.122604,0.084165,0.017192,57000,
1469652225,0.152880,0.114190,0.068780,0.085932,57000,
1469652226,0.432000,0.112988,0.020838,0.028244,58000,
1469652226,0.782008,0.132220,0.105885,0.017220,58000,
1469652226,0.787962,0.104574,0.039820,0.017192,58000,
1469652226,0.491691,0.116594,0.001812,0.017220,58000,
1469652227,0.898668,0.152654,0.060635,0.017192,58000,
1469652227,1.069147,0.135826,0.101360,0.017220,58000,
1469652227,0.511548,0.123806,0.073305,0.017220,58000,
1469652228,0.030974,0.102170,0.062307,0.075258,55000,
1469652228,0.374752,0.109382,0.019910,0.045510,55000,
1469652228,0.606411,0.135826,0.103170,0.017220,55000,
1469652228,0.888704,0.109382,0.040725,0.017192,56000,
1469652229,0.548713,0.117796,0.001812,0.017192,56000,
1469652229,1.331555,0.122604,0.001812,0.017192,56000,
1469652229,0.852670,0.152654,0.097740,0.017192,56000,
1469652230,0.802938,0.127412,0.095930,0.017192,56000,
1469652230,0.019131,0.108180,0.044345,0.107379,56000,
1469652230,0.676598,0.127412,0.043440,0.017192,56000,
1469652230,0.657832,0.114190,0.109505,0.017192,57000,
1469652231,0.717500,0.115392,0.019910,0.017220,57000,
1469652231,0.674245,0.110584,0.001812,0.017192,57000,
1469652231,1.026168,0.144240,0.022650,0.017192,57000,
1469652232,1.275495,0.145442,0.095930,0.017192,57000,
1469652232,0.728064,0.121402,0.097740,0.017192,57000,
1469652232,0.138320,0.106978,0.051585,0.060003,57000,
1469652232,0.325584,0.114190,0.020838,0.051660,59000,
1469652233,0.755094,0.132220,0.100455,0.017192,59000,
1469652233,0.644734,0.109382,0.058825,0.017192,59000,
