timestamp,armW,memW,g3dW,kfcW,temperature,dumb
1468519029,0.007288,0.125008,0.090500,0.050960,53000,
1468519030,0.152625,0.105776,0.074210,0.107406,53000,
1468519030,1.282650,0.141836,0.063350,0.025830,53000,
1468519030,0.229216,0.141836,0.090500,0.024460,56000,
1468519030,0.059995,0.125008,0.086880,0.184030,56000,
1468519031,0.703290,0.125008,0.039820,0.029520,56000,
1468519031,0.615624,0.108180,0.001812,0.017220,56000,
1468519031,0.018220,0.108180,0.028086,0.030990,57000,
1468519031,1.670970,0.138230,0.067044,0.017220,57000,
1468519032,0.782130,0.181653,0.163986,0.017220,57000,
1468519032,1.294095,0.129816,0.092310,0.017220,56000,
1468519032,0.464854,0.143038,0.099660,0.017220,56000,
1468519033,1.239648,0.135826,0.118555,0.017220,56000,
1468519033,0.645780,0.128614,0.080545,0.017220,56000,
1468519033,0.785400,0.137028,0.142242,0.017220,55000,
1468519033,0.096566,0.117796,0.087785,0.073280,55000,
1468519034,0.601460,0.122604,0.048870,0.054164,55000,
1468519034,0.052838,0.096160,0.039820,0.030132,56000,
1468519034,0.335238,0.098564,0.001812,0.099630,56000,
1468519035,0.355123,0.128721,0.066970,0.019488,56000,
1468519035,0.480102,0.118998,0.009060,0.090975,56000,
1468519035,0.091600,0.106978,0.066970,0.022720,54000,
1468519036,0.337008,0.097362,0.001812,0.088140,54000,
1468519036,0.324632,0.127412,0.069685,0.025830,54000,
1468519036,0.007288,0.092554,0.015402,0.050715,54000,
1468519036,0.417928,0.120200,0.027180,0.097328,54000,
1468519037,0.092820,0.096160,0.049775,0.016665,54000,
1468519037,0.335896,0.105776,0.001812,0.097020,54000,
1468519037,0.368150,0.117796,0.071495,0.018090,53000,
1468519038,0.007288,0.094958,0.011778,0.051561,53000,
1468519038,0.473364,0.125008,0.025368,0.081312,53000,
1468519038,0.073710,0.090150,0.053395,0.023936,55000,
1468519038,0.474819,0.121402,0.060635,0.017220,55000,
1468519039,0.010932,0.094958,0.019005,0.046575,55000,
1468519039,0.759150,0.125008,0.013590,0.059088,55000,
1468519039,0.091000,0.091352,0.056110,0.024750,53000,
1468519040,0.170556,0.103372,0.001812,0.123765,53000,
1468519040,0.244853,0.127518,0.081450,0.043845,53000,
1468519040,0.204631,0.111786,0.073305,0.156684,53000,
1468519040,0.138000,0.110584,0.102265,0.040885,53000,
1468519041,0.243712,0.093756,0.034390,0.110112,53000,
1468519041,0.071890,0.096160,0.023556,0.027768,53000,
1468519041,0.324818,0.100968,0.001812,0.101308,53000,
1468519042,0.430996,0.093756,0.001812,0.089910,53000,
1468519042,0.041888,0.097362,0.020815,0.034875,53000,
1468519042,0.497973,0.091352,0.009966,0.082544,53000,
1468519042,0.040744,0.097362,0.015402,0.056150,53000,
1468519043,0.467124,0.097362,0.013575,0.064012,53000,
1468519043,0.030063,0.087746,0.009060,0.066375,53000,
1468519043,0.421308,0.100968,0.021744,0.055395,53000,
1468519044,0.050105,0.092554,0.001812,0.079946,53000,
1468519044,0.440785,0.100968,0.024435,0.028290,53000,
1468519044,0.096915,0.091352,0.001812,0.096750,53000,
1468519044,0.464128,0.099766,0.021744,0.017220,53000,
1468519045,0.178012,0.096160,0.001812,0.095370,53000,
1468519045,0.329847,0.096160,0.024435,0.017038,53000,
1468519045,0.371037,0.106978,0.062445,0.030150,53000,
1468519046,0.333644,0.131018,0.088690,0.123552,53000,
1468519046,0.234278,0.121503,0.078735,0.024843,53000,
1468519046,0.007288,0.093756,0.021744,0.054615,55000,
1468519046,0.457040,0.115392,0.037105,0.075091,55000,
1468519047,0.104650,0.103372,0.042535,0.017216,55000,
